Date,Open,High,Low,Close,AdjClose,Volume
2023-02-01,3.157246,4.556014,3.018829,3.518375,3.518375,1976449159
2023-03-01,3.517074,4.984155,2.467875,4.725227,4.725227,1656126749
2023-04-01,4.726772,9.876631,4.694199,7.794995,7.794995,3948997728
2023-05-01,7.795691,8.096447,5.622380,7.263262,7.263262,2075182983
2023-06-01,7.264508,8.189681,5.446409,8.037388,8.037388,1606890657
2023-07-01,8.034960,9.829960,7.695938,7.864029,7.864029,1399412389
2023-08-01,7.863912,8.243377,6.647976,6.992265,6.992265,1046553799
2023-09-01,6.992304,7.874049,6.407394,7.673337,7.673337,658753181
2023-10-01,7.672891,14.404914,7.209887,14.185170,14.185170,1670980994
2023-11-01,14.183365,19.012573,13.473897,18.399326,18.399326,3148048463
2023-12-01,18.400030,44.610725,15.858181,35.775787,35.775787,8478616960
2024-01-01,35.771694,45.189571,30.462473,33.781742,33.781742,5464961209
2024-01-29,36.378922,38.240437,36.253616,37.888184,37.888184,193160752
