Date,Open,High,Low,Close,AdjClose,Volume
2023-02-01,2.201378,3.299427,1.984442,2.997846,2.997846,7977762096
2023-03-01,2.998401,3.158455,2.019567,2.452853,2.452853,5614090478
2023-04-01,2.452845,2.805367,1.976248,2.033904,2.033904,2106265536
2023-05-01,2.033481,2.526889,1.588412,2.091014,2.091014,1907834561
2023-06-01,2.091292,2.443229,1.616486,2.052203,2.052203,1508239222
2023-07-01,2.052412,2.468732,1.830761,1.846667,1.846667,1533839677
2023-08-01,1.846699,1.951323,1.435182,1.563771,1.563771,1884094341
2023-09-01,1.563798,1.729063,1.427339,1.704851,1.704851,1011232686
2023-10-01,1.704732,1.978117,1.458525,1.829501,1.829501,1219923904
2023-11-01,1.828814,2.646723,1.717982,2.355611,2.355611,3475778734
2023-12-01,2.355730,2.995646,1.989063,2.643282,2.643282,3122888529
2024-01-01,2.643322,4.014795,2.562147,3.078590,3.078590,4122671170
2024-01-29,3.153064,3.211906,3.143318,3.170883,3.170883,68183904
